postcode,latitude,longitude
AB10 1NW,57.142712,-2.122114
AB10 1QB,57.143886,-2.11559
AB10 1YE,57.142566,-2.114496
AB10 7QQ,57.119461,-2.133779
AB11 7XH,57.135999,-2.107561
AB11 8ER,57.135231,-2.08718
AB12 4QP,57.060567,-2.12552
AB12 5NA,57.120827,-2.10409
AB14 0RP,57.098937,-2.25825
AB15 4ZT,57.14255,-2.130954
AB15 7YT,57.135837,-2.141785
AB15 8TB,57.158373,-2.225261
AB15 9EP,57.103699,-2.211477
AB15 9LQ,57.115254,-2.181359
AB21 7NQ,57.206714,-2.176338
AB21 9AN,57.178294,-2.174995
AB21 9DG,57.176556,-2.182264
AB22 8LD,57.180134,-2.102603
AB22 8ZP,57.182581,-2.136902
AB24 2AS,57.169355,-2.12202
AB24 3NG,57.160786,-2.102037
AB24 5AU,57.1545,-2.087176
AB24 5HT,57.149199,-2.09203
AB24 5RS,57.163584,-2.096705
AB25 1QB,57.148654,-2.107243
AB25 2XE,57.152707,-2.144153
AB25 3TX,57.15743,-2.107929
AB30 1GX,56.831782,-2.475521
AB30 1XU,56.9003,-2.448564
AB31 4JQ,57.107333,-2.620494
AB31 5XS,57.050807,-2.500966
AB32 6FG,57.147316,-2.274295
AB33 8FL,57.237016,-2.703618
AB34 5HQ,57.077017,-2.767607
AB35 5NN,57.051372,-3.039847
AB35 5WR,57.007698,-3.402146
AB36 8XB,57.193552,-3.035964
AB37 9AN,57.353999,-3.355359
AB38 9PR,57.469361,-3.224174
AB39 2EL,56.966612,-2.211908
AB41 7NX,57.336621,-2.178588
AB41 9AH,57.366289,-2.071371
AB42 0QQ,57.425319,-1.920258
AB42 2XA,57.502381,-1.794124
AB42 5GP,57.523765,-2.009869
AB43 6NE,57.591915,-2.19833
AB43 8QJ,57.601536,-1.913471
AB43 9JW,57.692471,-2.014026
AB43 9NH,57.686803,-2.019911
AB45 1JD,57.669245,-2.526014
AB45 2GB,57.680224,-2.696558
AB51 0JZ,57.335198,-2.33187
AB51 3UL,57.276567,-2.379636
AB51 5NB,57.234276,-2.445297
AB52 6JJ,57.340889,-2.612285
AB53 4DQ,57.536556,-2.451662
AB54 8EX,57.44321,-2.790357
AB55 4FJ,57.445509,-3.124038
AB55 5DJ,57.541807,-2.954015
AB56 1FP,57.668154,-2.980967
AB56 1JE,57.671608,-2.966173
DD1 1PB,56.457658,-2.976281
DD1 1PF,56.459166,-2.97752
DD1 5LA,56.45729,-2.99083
DD10 0RU,56.845467,-2.282025
DD10 8TY,56.710152,-2.456408
DD10 8TY,56.710152,-2.456408
DD10 8TY,56.710152,-2.456408
DD11 1AD,56.55899,-2.580842
DD11 1EN,56.560772,-2.580327
DD11 1ES,56.560654,-2.578535
DD11 1ES,56.560654,-2.578535
DD2 2HZ,56.468608,-3.006672
DD2 2HZ,56.468608,-3.006672
DD2 3BR,56.470778,-3.009602
DD2 4AD,56.466205,-3.045349
DD2 5NH,56.495588,-3.066043
DD3 6NF,56.468396,-2.974868
DD3 8DB,56.475855,-2.981444
DD3 8NE,56.487742,-2.992692
DD4 0HU,56.489616,-2.917261
DD4 6DG,56.467034,-2.958185
DD4 6EL,56.467536,-2.957224
DD4 6PP,56.47124,-2.955722
DD4 6QY,56.469351,-2.960755
DD4 6QY,56.469351,-2.960755
DD4 6SW,56.47139,-2.958437
DD4 7AA,56.473475,-2.957207
DD4 8XZ,56.479639,-2.910619
DD5 1DU,56.468661,-2.883039
DD5 1EP,56.466597,-2.877635
DD5 4LX,56.486277,-2.823158
DD6 8DJ,56.437943,-2.935798
DD7 7RB,56.500382,-2.734413
DD8 2AE,56.642738,-2.889521
DD8 2AS,56.642254,-2.885771
DD8 2HA,56.644237,-2.882121
DD8 4ES,56.673006,-3.006649
DD9 7AN,56.733735,-2.650937
DD9 7TA,56.810989,-2.656648
DG1 1DL,55.070556,-3.613758
DG1 1TR,55.096713,-3.586402
DG1 2PX,55.065135,-3.608125
DG1 4EJ,55.063914,-3.586657
DG10 9JP,55.333222,-3.446182
DG11 1NH,55.128239,-3.440346
DG11 2BJ,55.121768,-3.357863
DG11 3BT,55.058825,-3.264674
DG12 6GN,54.986385,-3.262707
DG12 6GS,54.986385,-3.262707
DG13 0JY,55.150836,-3.000173
DG14 0UX,55.078956,-2.952282
DG16 5NA,54.99368,-3.067785
DG2 0UJ,55.140435,-3.776017
DG2 8BY,54.979145,-3.618905
DG2 9BH,55.072505,-3.627012
DG3 5AA,55.234944,-3.765602
DG4 6BT,55.369852,-3.925056
DG5 4AZ,54.928247,-3.827504
DG6 4BJ,54.834508,-4.050589
DG7 3EE,54.950099,-3.922315
DG7 3EE,54.950099,-3.922315
DG7 3RN,55.073066,-4.141012
DG8 0PU,54.880735,-4.802585
DG8 6NR,54.95962,-4.480468
DG8 6NR,54.95962,-4.480468
DG8 8PS,54.737091,-4.415065
DG9 7DW,54.899755,-5.021908
DG9 7DW,54.899755,-5.021908
DG9 7DW,54.899755,-5.021908
DG9 9DP,54.810393,-4.962443
DG9 9QQ,54.688658,-4.894404
EH1 1NA,55.948968,-3.184296
EH10 4EY,55.935684,-3.207086
EH10 4RP,55.925853,-3.208493
EH10 5ER,55.930131,-3.211619
EH10 5HF,55.927196,-3.215865
EH10 6QT,55.90655,-3.210068
EH11 2JL,55.938335,-3.22662
EH11 3RA,55.927877,-3.271183
EH11 4AU,55.923473,-3.286018
EH11 4AU,55.923473,-3.286018
EH12 5QX,55.943527,-3.245998
EH12 5SS,55.943,-3.256292
EH12 7TB,55.940228,-3.290175
EH12 7UN,55.940757,-3.288128
EH12 8XP,55.951388,-3.303807
EH13 0LB,55.9089,-3.252741
EH13 9AF,55.911031,-3.237003
EH13 9AF,55.911031,-3.237003
EH14 1NQ,55.934149,-3.238846
EH14 3JF,55.912198,-3.282349
EH14 4AS,55.909385,-3.320682
EH14 5QB,55.895609,-3.314873
EH15 1NY,55.947558,-3.120056
EH15 3LL,55.94038,-3.116534
EH15 3LL,55.94038,-3.116534
EH16 4DT,55.932657,-3.135823
EH16 4DT,55.932657,-3.135823
EH16 5QU,55.921206,-3.159637
EH16 5TY,55.925106,-3.166267
EH16 5TY,55.925106,-3.166267
EH16 6JT,55.909272,-3.163073
EH16 6RN,55.903836,-3.156816
EH17 7AB,55.907302,-3.133916
EH17 7PR,55.916535,-3.151786
EH19 2ET,55.878454,-3.107772
EH19 2ET,55.878454,-3.107772
EH19 2ET,55.878454,-3.107772
EH20 9LA,55.878875,-3.154428
EH21 7BP,55.938652,-3.053009
EH21 7BP,55.938652,-3.053009
EH22 1AP,55.894233,-3.067561
EH22 1LX,55.912761,-3.106782
EH22 4AA,55.867559,-3.049346
EH23 4TP,55.843117,-3.049051
EH25 9NT,55.85678,-3.175706
EH26 8EZ,55.83657,-3.217409
EH26 8LF,55.828184,-3.221266
EH28 8RH,55.920653,-3.385696
EH29 9AS,55.955201,-3.405278
EH3 5EU,55.961669,-3.198924
EH3 6EH,55.956901,-3.20762
EH3 6EH,55.956901,-3.20762
EH3 7EB,55.949332,-3.216735
EH3 9HW,55.942591,-3.20088
EH3 9QQ,55.943897,-3.205677
EH3 9QQ,55.943897,-3.205677
EH3 9QQ,55.943897,-3.205677
EH30 9HA,55.989844,-3.399057
EH31 2HP,56.035089,-2.826794
EH32 0JU,55.969104,-2.960447
EH32 9QS,55.956396,-2.975684
EH33 2JX,55.942478,-2.951558
EH35 5AB,55.910583,-2.950717
EH37 5PP,55.8625,-2.961936
EH39 4PU,56.055446,-2.716758
EH4 3TH,55.95997,-3.256503
EH4 4PL,55.970482,-3.251831
EH4 5BP,55.963064,-3.272497
EH4 6NS,55.977719,-3.299965
EH4 7NX,55.959233,-3.288021
EH40 3DP,55.984435,-2.65666
EH41 3NF,55.956908,-2.77681
EH41 3NF,55.956908,-2.77681
EH41 3NF,55.956908,-2.77681
EH42 1EE,55.999552,-2.512882
EH42 1EE,55.999552,-2.512882
EH42 1EE,55.999552,-2.512882
EH44 6QE,55.616012,-3.066984
EH45 8JG,55.651475,-3.197832
EH45 8JG,55.651475,-3.197832
EH46 7EX,55.753298,-3.353197
EH47 0SD,55.867033,-3.689021
EH47 9JD,55.829539,-3.704191
EH48 2SS,55.897724,-3.646988
EH48 2SS,55.897724,-3.646988
EH48 2SS,55.897724,-3.646988
EH48 3QB,55.899586,-3.699137
EH49 7ER,55.976172,-3.60762
EH5 2LY,55.975216,-3.238043
EH5 3AH,55.97276,-3.20135
EH5 3EL,55.976209,-3.201489
EH51 0DQ,56.012037,-3.613681
EH51 0DQ,56.012037,-3.613681
EH51 9UE,56.008994,-3.601059
EH52 5LH,55.932866,-3.483957
EH52 5LH,55.932866,-3.483957
EH52 5LH,55.932866,-3.483957
EH53 0EW,55.895633,-3.462497
EH54 5DY,55.897703,-3.494465
EH54 6QQ,55.879785,-3.508404
EH54 6TP,55.892808,-3.522838
EH54 8PY,55.902203,-3.547662
EH54 8PY,55.902203,-3.547662
EH54 9JZ,55.87029,-3.507105
EH55 8EJ,55.849816,-3.578322
EH6 4EG,55.978536,-3.182971
EH6 4NY,55.974943,-3.187445
EH6 5JA,55.971597,-3.174862
EH6 6TL,55.974694,-3.176893
EH6 8BW,55.969166,-3.164246
EH6 8HQ,55.97027,-3.171009
EH7 4AT,55.960826,-3.183889
EH7 4AT,55.960826,-3.183889
EH7 5EG,55.957862,-3.174686
EH7 6RU,55.956285,-3.133045
EH7 6UJ,55.964615,-3.156706
EH8 7RX,55.954556,-3.140807
EH8 9AL,55.945981,-3.188129
EH8 9DX,55.945386,-3.183884
EH8 9RD,55.94113,-3.176725
EH8 9RD,55.94113,-3.176725
EH8 9RU,55.944567,-3.181439
EH9 1AG,55.935099,-3.193349
FK1 1BA,55.997724,-3.784356
FK1 3EZ,55.936627,-3.835628
FK1 4PP,56.002892,-3.814472
FK10 3JQ,56.124693,-3.783555
FK10 3JQ,56.124693,-3.783555
FK10 4JA,56.107311,-3.75112
FK12 5BD,56.151928,-3.803492
FK13 6AG,56.152833,-3.746799
FK14 7AA,56.162286,-3.670091
FK16 6DU,56.191844,-4.05242
FK17 8LX,56.238052,-4.199453
FK2 0XF,55.987399,-3.72184
FK2 0XF,55.987399,-3.72184
FK2 0XF,55.987399,-3.72184
FK2 7AZ,56.005176,-3.776151
FK2 7ES,56.0032,-3.786629
FK2 7HR,56.006066,-3.784866
FK2 7TA,56.016882,-3.793383
FK21 8TQ,56.466527,-4.316551
FK3 8AN,56.019464,-3.720347
FK4 1ED,56.00434,-3.89349
FK4 1ED,56.00434,-3.89349
FK5 3BB,56.024955,-3.818902
FK5 3BB,56.024955,-3.818902
FK5 3BB,56.024955,-3.818902
FK5 3BB,56.024955,-3.818902
FK5 4HT,56.027435,-3.811371
FK6 6DB,56.022845,-3.908876
FK6 6GD,56.024809,-3.907994
FK7 0HW,56.093656,-3.921767
FK7 7JD,56.104608,-3.875979
FK7 8DW,56.064675,-3.875042
FK8 1PH,56.126951,-3.940145
FK8 2AU,56.1068,-3.935893
FK8 2AU,56.1068,-3.935893
FK8 2AU,56.1068,-3.935893
FK8 2QD,56.115876,-3.939372
FK8 3DZ,56.125264,-4.172633
FK8 3NB,56.116283,-4.297842
FK9 4EU,56.153098,-3.947889
FK9 4NJ,56.149619,-3.917477
FK9 4SW,56.131855,-3.961408
G11 5LL,55.871146,-4.309874
G11 5NG,55.871209,-4.305593
G11 5PE,55.871063,-4.304737
G11 7AD,55.8725,-4.323414
G11 7SY,55.871163,-4.314702
G12 8ED,55.877734,-4.288536
G12 8ND,55.873977,-4.283727
G12 8SP,55.874178,-4.293682
G12 9JE,55.878556,-4.305628
G12 9LD,55.879057,-4.300973
G12 9PN,55.877658,-4.306582
G13 1JE,55.895018,-4.326967
G13 2SW,55.894418,-4.338574
G13 2UP,55.891617,-4.331929
G13 4PU,55.897112,-4.370298
G14 0EA,55.885427,-4.36226
G14 0NT,55.889156,-4.381406
G14 0XT,55.886269,-4.361145
G14 9DR,55.878359,-4.348384
G14 9PS,55.875253,-4.340812
G14 9SS,55.8835,-4.357282
G14 9UT,55.874517,-4.339313
G14 9UU,55.874609,-4.339686
G14 9XL,55.87798,-4.348473
